t,l_disp,r_disp
0.0,-9.05018495,-8.371171799999999
0.1,-9.05018495,-8.371171799999999
0.2,-9.05018495,-8.371171799999999
0.3,-9.05018495,-8.371171799999999
0.4,-9.05018495,-8.371171799999999
0.5,-9.05018495,-8.371171799999999
0.6,-9.05018495,-8.371171799999999
0.7,-9.05018495,-8.371171799999999
0.8,-9.05018495,-8.371171799999999
0.9,-9.04898835,-8.369996279999999
1.0,-9.04719345,-8.368232999999998
1.1,-9.04480025,-8.36588196
1.2,-9.04180875,-8.362943159999999
1.3,-9.039116400000001,-8.36000436
1.4,-9.0361249,-8.35735944
1.5,-9.0331334,-8.35442064
1.6,-9.02984275,-8.353245119999999
1.7,-9.02206485,-8.35295124
1.8,-9.0181759,-8.35295124
1.9,-9.013389499999999,-8.35383288
2.0,-9.008902249999998,-8.3550084
2.1,-9.00411585,-8.356477799999999
2.2,-8.99932945,-8.35824108
2.3,-8.994543049999999,-8.35971048
2.4,-8.98975665,-8.361473759999999
2.5,-8.98497025,-8.36353092
2.6,-8.979884700000001,-8.3652942
2.7,-8.9750983,-8.36705748
2.8,-8.970311899999999,-8.36911464
2.9,-8.96582465,-8.371171799999999
3.0,-8.955354400000001,-8.380282079999999
3.1,-8.9547561,-8.38057596
3.2,-8.9547561,-8.38057596
3.3,-8.95505525,-8.380282079999999
3.4,-8.957747600000001,-8.37763716
3.5,-8.96223485,-8.37322896
3.6,-8.967918699999998,-8.36764524
3.7,-8.97360255,-8.362061520000001
3.8,-8.97958555,-8.356477799999999
3.9,-8.98556855,-8.35030632
4.0,-8.9918507,-8.34442872
4.1,-8.9978337,-8.338257239999999
4.2,-9.0038167,-8.33237964
4.3,-9.01009885,-8.32650204
4.4,-9.016081849999999,-8.320330559999999
4.5,-9.0217657,-8.314452959999999
4.6,-9.02804785,-8.308575359999999
4.7,-9.034030849999999,-8.302403879999998
4.8,-9.03881725,-8.2977018
4.9,-9.04001385,-8.296526279999998
5.0,-9.04001385,-8.296526279999998
5.1,-9.04001385,-8.296526279999998
5.2,-9.039116400000001,-8.29740792
5.3,-9.037022349999999,-8.29946508
5.4,-9.0337317,-8.30269776
5.5,-9.02924445,-8.30710596
5.6,-9.0247572,-8.31151416
5.7,-9.0199708,-8.31621624
5.8,-9.015782699999999,-8.32062444
5.9,-9.0109963,-8.32532652
6.0,-9.0062099,-8.32973472
6.1,-9.0014235,-8.33473068
6.2,-8.99633795,-8.33943276
6.3,-8.990654099999999,-8.34531036
6.4,-8.985269399999998,-8.35030632
6.5,-8.979884700000001,-8.35589004
6.6,-8.975397449999999,-8.36176764
6.7,-8.9715085,-8.36558808
6.8,-8.968516999999999,-8.36852688
6.9,-8.965525499999998,-8.37146568
7.0,-8.96223485,-8.374404479999999
7.1,-8.95924335,-8.376461639999999
7.2,-8.9571493,-8.37734328
7.3,-8.955354400000001,-8.37734328
7.4,-8.954157799999999,-8.3770494
7.5,-8.9499697,-8.374110599999998
7.6,-8.94667905,-8.371171799999999
7.7,-8.94308925,-8.36793912
7.8,-8.9403969,-8.3638248
7.9,-8.93949945,-8.35824108
8.0,-8.93949945,-8.35530228
8.1,-8.9397986,-8.34531036
8.2,-8.94189265,-8.338257239999999
8.3,-8.94488415,-8.331791879999999
8.4,-8.94907225,-8.325620399999998
8.5,-8.953559499999999,-8.319448920000001
